maker_key,model_key,mileage,engine_power,registration_date,fuel,paint_color,car_type,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,price,sold_at,data_split,bmw_series,luxury_tier,is_luxury,is_performance,registration_year,registration_month,registration_quarter,is_summer_registration,is_year_end_registration,car_age_years,age_mileage_interaction,mileage_per_power,annual_mileage,power_age_ratio,luxury_mileage_interaction,luxury_age_interaction,is_high_mileage,is_old_car,fuel_encoded,color_encoded,car_type_encoded,price_log
BMW,318,85814.0,100,2013-06-01,diesel,black,estate,False,True,False,False,False,False,True,False,14800.0,2018-08-01,train,3_series,2,0,0,2013,6,2,1,0,5.166324435318275,44.33429650924025,849.6435643564356,13916.55611055611,16.217116217116217,0.0,0.0,0,0,15905.469593378913,16213.218970736629,13067.914438502674,9.60245002503719
BMW,535,153039.0,230,2012-03-01,diesel,black,sedan,True,True,False,True,True,False,True,True,23000.0,2018-04-01,train,5_series,3,1,0,2012,3,1,0,0,6.083504449007529,93.10134373716633,662.5064935064935,21604.983959802878,32.4698038457822,15.3039,6.083504449007529,0,0,15905.469593378913,16213.218970736629,15842.479108635098,10.043292972227004
BMW,318,199812.0,100,2013-08-01,diesel,black,sedan,False,True,False,False,False,False,True,False,11300.0,2018-06-01,train,3_series,2,0,0,2013,8,3,1,0,4.832306639288158,96.55528542094456,1978.3366336633662,34259.5155498181,17.145874897312524,0.0,0.0,1,0,15905.469593378913,16213.218970736629,15842.479108635098,9.332646496360152
BMW,530,182009.0,190,2014-04-01,diesel,blue,estate,True,True,False,True,True,True,True,True,22100.0,2018-02-01,train,5_series,3,1,0,2014,4,2,0,0,3.838466803559206,69.86355044490075,952.9267015706806,37617.08148252935,39.26863771396237,18.2009,3.838466803559206,1,0,15905.469593378913,15169.302325581395,13067.914438502674,10.003378135350923
BMW,X1,171831.0,100,2013-02-01,diesel,white,suv,False,True,False,False,False,False,True,True,13600.0,2018-05-01,train,X1,1,0,0,2013,2,1,0,0,5.242984257357974,90.0907227926078,1701.2970297029703,27523.856046486133,16.017980484595988,0.0,0.0,1,0,15905.469593378913,17479.090909090908,22123.90625,9.517898598432753
BMW,318 Gran Turismo,170733.0,105,2014-03-01,diesel,grey,sedan,False,True,False,False,False,True,True,True,16100.0,2018-05-01,train,3_series,2,0,0,2014,3,1,0,0,4.167008898015058,71.14459301848048,1610.688679245283,33042.90806729368,20.321234600609355,0.0,0.0,1,0,15905.469593378913,15473.837209302326,15842.479108635098,9.686636660844938
BMW,116,146918.0,85,2014-03-01,diesel,white,hatchback,True,True,False,False,False,False,True,False,11500.0,2018-08-01,train,1_series,1,0,0,2014,3,1,0,0,4.418891170431212,64.92146529774128,1708.3488372093022,27112.188707843878,15.685865858279652,0.0,0.0,1,0,15905.469593378913,17479.090909090908,13179.43925233645,9.350189267092581
BMW,318,136810.0,100,2013-04-01,diesel,white,sedan,False,True,False,False,True,True,True,False,15600.0,2018-03-01,train,3_series,2,0,0,2013,4,2,0,0,4.914442162902122,67.23448323066393,1354.5544554455446,23131.513713690543,16.907765304941556,0.0,0.0,0,0,15905.469593378913,17479.090909090908,15842.479108635098,9.65509029374725
BMW,X3,126248.0,140,2014-10-01,diesel,grey,suv,True,True,False,False,True,False,True,True,20900.0,2018-08-01,train,X3,2,0,0,2014,10,4,0,0,3.8329911019849416,48.39074606433949,895.3758865248227,26122.125477977628,28.967568333097297,0.0,0.0,1,0,15905.469593378913,15473.837209302326,22123.90625,9.94755228369823
BMW,116,111140.0,85,2013-04-01,diesel,white,subcompact,False,False,False,False,False,False,False,False,7100.0,2018-02-01,train,1_series,1,0,0,2013,4,2,0,0,4.837782340862423,53.76711293634497,1292.3255813953488,19038.051354203304,14.560323601829053,0.0,0.0,0,0,15905.469593378913,17479.090909090908,9217.64705882353,8.867990898182093
